system:index,B11,B2,B2_log,B3,B3_log,B4,B8,B8A,BGR,MNDWI,NDWI,Name,VH,VV,VV_VH_ratio,month,poly_area_m2,s1_datetime_utc,s1_day_diff,s2_datetime_utc,s2_day_diff,sizeClass,waterType,.geo
000000000000000002e3,203.0,60.0,4.094344578888768,294.0,5.683579770740042,96.0,70.0,0.0,-0.6610169472852628,0.18309859118088814,0.6153846136939983,95W24102018,-32.293845989712594,-22.79168611307117,9.502159876641425,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e4,227.0,19.0,2.944439031798018,227.0,5.424950021886689,88.0,55.0,0.0,-0.8455284518474453,0.0,0.6099290758513154,95W24102018,-32.722121339602815,-22.63129336979247,10.090827969810345,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e5,205.0,19.0,2.944439031798018,253.0,5.533389492680089,100.0,61.0,0.0,-0.8602941144842128,0.10480349322095307,0.6114649662055256,95W24102018,-25.58969804530337,-20.13829909447341,5.451398950829958,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e6,701.0,0.0,-13.815510557964274,204.0,5.318119998746178,101.0,193.0,722.0,-0.9999999950980393,-0.549171270111413,0.027707808494438768,95W24102018,-19.627747022840865,-16.22066819206559,3.407078830775273,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
000000000000000002e7,661.0,8.0,2.079441666679828,365.0,5.899897356322217,184.0,291.0,678.0,-0.9571045550747868,-0.28849902505994246,0.11280487787682184,95W24102018,-31.19894957184428,-22.06717620451603,9.13177336732825,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,1,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c59,2144.0,401.0,5.9939614298003345,750.0,6.6200732078636895,881.0,2418.0,2378.0,-0.3032145957400394,-0.48168624724198816,-0.5265151513489535,95W24102018,-16.514689598076462,-6.999546181675779,9.515143416400683,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5a,1966.0,396.0,5.9814142137797335,787.0,6.668228249688052,705.0,2842.0,2923.0,-0.3305156379285582,-0.42826007975726116,-0.5662717000368499,95W24102018,-13.733049083209597,-7.255133455423901,6.477915627785696,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5b,1202.0,0.0,-13.815510557964274,261.0,5.564520411154111,172.0,2755.0,2013.0,-0.9999999961685824,-0.6431989059171572,-0.8269230766488982,95W24102018,-16.598462009929072,-13.08070986349984,3.517752146429233,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5c,2470.0,1018.0,6.925595198092786,1548.0,7.344719054795667,1646.0,2588.0,2269.0,-0.2065471550247283,-0.22946739665767363,-0.25145067692179623,95W24102018,-12.330325166496015,-5.205032100170905,7.125293066325111,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5d,1354.0,242.0,5.488937730288918,553.0,6.315358003330653,520.0,2232.0,1610.0,-0.39119496806139,-0.42003146281068093,-0.6028725312018411,95W24102018,-16.397736799784333,-6.831535062974839,9.566201736809493,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5e,2147.0,261.0,5.564520411154111,511.0,6.236369592160652,670.0,2526.0,2252.0,-0.32383419647171735,-0.6155003759911587,-0.6634837008022774,95W24102018,-18.27169814411419,-12.237814501924769,6.033883642189421,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c5f,1984.0,56.0,4.025351708592292,330.0,5.799092657490829,221.0,3276.0,3069.0,-0.7098445577465167,-0.7147796021111584,-0.8169717135837572,95W24102018,-13.716516854104125,-10.59524033603882,3.1212765180653044,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c60,1966.0,74.0,4.304065106717683,510.0,6.234410727679156,413.0,2980.0,2923.0,-0.746575341187371,-0.5880452340112903,-0.707736389482024,95W24102018,-12.261089801925037,-7.730159151322842,4.530930650602195,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c61,1781.0,332.0,5.805134971928537,566.0,6.338594079969967,506.0,2263.0,2078.0,-0.26057906429779615,-0.5176821472016693,-0.599858607069686,95W24102018,-15.451177032286555,-8.281226279173064,7.169950753113492,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c62,2181.0,198.0,5.28826703574504,576.0,6.356107662432002,562.0,1994.0,2379.0,-0.48837209239228413,-0.5821545155668646,-0.5517509725479568,95W24102018,-23.35709031684333,-20.08290477322633,3.2741855436170013,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c63,1614.0,0.0,-13.815510557964274,292.0,5.67675380569294,162.0,2559.0,2743.0,-0.9999999965753424,-0.6935991601817423,-0.7951595928463138,95W24102018,-16.562175343570807,-11.588574497127189,4.9736008464436186,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
00000000000000000c64,1580.0,0.0,-13.815510557964274,363.0,5.894402837019672,184.0,2692.0,2397.0,-0.9999999972451791,-0.6263510032803133,-0.7623567918944822,95W24102018,-22.77498647668944,-10.792904338435523,11.982082138253915,10,49728.05421083562,2018-10-25 00:44:05,1.030613425925926,2018-10-22 05:41:14,1.7630257060185186,1,0,"{""type"":""MultiPoint"",""coordinates"":[]}"
